Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.001,1e-05,80,8.719125747680664,8.48479320086847,0.05858313670304849
512-512-512,0.001,1e-05,80,6.864502906799316,6.536535943550136,0.08199174081229521
512-512-512,0.001,1e-05,80,5.161251068115234,5.268665964359624,0.08056117218329195
512-512-512,0.001,1e-05,80,6.479174613952637,6.679551130161142,0.1502823871563792
512-512-512,0.001,1e-05,80,5.202563762664795,5.308351030874783,0.07934045115749089
512-512-512,0.001,1e-05,80,8.117563247680664,8.496941170948555,0.28453344245091783
512-512-512,0.001,1e-05,80,6.60470724105835,6.300609859322792,0.07602434543388936
512-512-512,0.001,1e-05,80,7.22985315322876,7.035110014122716,0.048685784776510976
512-512-512,0.001,1e-05,80,8.125091552734375,8.136335392424577,0.008432879767651613
512-512-512,0.001,1e-05,80,6.925370216369629,6.607599531474244,0.0794426712238463
512-512-512,0.001,1e-05,80,7.696679592132568,7.574400969137446,0.030569655748780677
512-512-512,0.001,1e-05,80,8.68750286102295,8.692081875531711,0.0034342608815713938
512-512-512,0.001,1e-05,80,6.490961074829102,6.212111542447817,0.06971238309532124
512-512-512,0.001,1e-05,80,6.7745795249938965,6.7994506960209415,0.018653378270283794
512-512-512,0.001,1e-05,80,7.062593460083008,7.4747013632114525,0.3090809273463335
512-512-512,0.001,1e-05,80,7.802960395812988,7.525319986237293,0.06941010239392376
512-512-512,0.001,1e-05,80,8.147684097290039,7.767578810420092,0.0950263217174867
512-512-512,0.001,1e-05,80,5.718171119689941,5.599481739225436,0.029672345116126264
512-512-512,0.001,1e-05,80,8.490734100341797,8.29559200629945,0.048785523510586515
512-512-512,0.001,1e-05,80,6.019158363342285,6.490757149138272,0.35369908934699
512-512-512,0.001,1e-05,80,6.748479843139648,6.551440767839009,0.04925976882515992
512-512-512,0.001,1e-05,80,7.383791923522949,7.751490418027952,0.27577387087875227
512-512-512,0.001,1e-05,80,4.780776023864746,4.5282790908295585,0.0631242332587969
512-512-512,0.001,1e-05,80,7.2394866943359375,6.761634804334234,0.11946297250042592
512-512-512,0.001,1e-05,80,8.450210571289062,8.224902818341942,0.056326938236780144
512-512-512,0.001,1e-05,80,6.140196323394775,6.098679234456549,0.010379272234556591
512-512-512,0.001,1e-05,80,9.528051376342773,9.443071650421372,0.02124493148035045
512-512-512,0.001,1e-05,80,6.133121490478516,5.727852884066225,0.10131715160307264
512-512-512,0.001,1e-05,80,9.18885326385498,9.542971279818351,0.2655885119725281
512-512-512,0.001,1e-05,80,7.162202835083008,6.696407381495796,0.11644886339680305
