Selected_Sigma,Selected_Lambda,Decision_Q,Demand_D,Operation_Cost
1.0,1e-06,7.132876467707533,7.145842398133231,0.009724447819273951
1.0,1e-06,9.607251080845154,9.74230450446064,0.10129006771161375
1.0,1e-06,6.130808324583517,6.243226752657098,0.0843138210551857
1.0,1e-06,7.514488357697758,7.180990676627291,0.08337442026761677
1.0,1e-06,8.204046697839056,7.743066656313689,0.1152450103813416
1.0,1e-06,8.119657913853338,7.49654943207663,0.1557771204441769
1.0,1e-06,8.34125758566588,8.205374355863887,0.03397080745049852
1.0,1e-06,8.545970100401146,8.190474850383758,0.0888738125043469
1.0,1e-06,6.371356556946386,6.147881829884482,0.0558686817654761
1.0,1e-06,6.885876458029289,6.453928265473327,0.1079870481389904
1.0,1e-06,8.532292875055342,8.347473782853069,0.04620477305056836
1.0,1e-06,2.568724236189747,2.309745528044113,0.06474467703640852
1.0,1e-06,7.470374978275773,7.623296950998481,0.11469147954203085
1.0,1e-06,8.0013538604397,8.151269947921438,0.11243706561130384
1.0,1e-06,7.887830658082702,8.041289304859426,0.11509398508254254
1.0,1e-06,7.197459675609929,7.505489981852841,0.23102272968218363
1.0,1e-06,5.595490222095167,5.882168466257531,0.21500868312177324
1.0,1e-06,4.577184555773287,4.697768937006977,0.09043828592526748
1.0,1e-06,9.408810716657833,9.236101269992126,0.043177361666426606
1.0,1e-06,8.622077511366047,8.49716199053546,0.031228880207646803
1.0,1e-06,8.110725589496973,8.111592664058902,0.000650305921447103
1.0,1e-06,7.124043438633782,6.892653855182226,0.05784739586288912
1.0,1e-06,6.25864558714064,6.702802293945092,0.33311753010333955
1.0,1e-06,10.554897898436918,10.056286913079989,0.1246527463392324
1.0,1e-06,7.795890001784283,7.2545282091078205,0.1353404481691156
1.0,1e-06,7.224707195599084,7.029778924017519,0.04873206789539131
1.0,1e-06,5.711020846846175,5.909085076042393,0.14854817189716352
1.0,1e-06,4.620451826175797,4.86284821704987,0.1817972931555547
1.0,1e-06,9.639276401458089,9.57411796758083,0.016289608469314487
1.0,1e-06,6.0258326317365665,5.634303999574175,0.09788215804059797
1.0,1e-06,8.24840460077317,8.55915412799048,0.23306214541298198
1.0,1e-06,9.98704468868419,9.811410848770198,0.043908459978498016
1.0,1e-06,6.728626590424575,6.016755456550583,0.17796778346849806
1.0,1e-06,6.361501601947505,6.180125341283919,0.04534406516589651
1.0,1e-06,8.951139995751838,8.83989975914373,0.027810059152026945
1.0,1e-06,8.790455949057783,8.114887940498512,0.1688920021398177
1.0,1e-06,4.7646769459865865,4.544809622083472,0.0549668309757787
1.0,1e-06,6.200921672518784,5.469724588941554,0.18279927089430736
1.0,1e-06,7.493121669842266,7.234637066128383,0.06462115092847065
1.0,1e-06,4.826656813597955,4.43331897138749,0.09833446055261619
1.0,1e-06,9.73197239962761,9.507150397134469,0.05620550062328533
1.0,1e-06,6.863340044041192,6.646331292110482,0.05425218798267761
1.0,1e-06,8.817927532285369,8.763616585221962,0.013577736765851611
1.0,1e-06,8.508291029506308,8.267003238788764,0.060321947679386145
